,Company,Symbol,Surprise,Reported_EPS,Consensus_EPS,Date
2,Adolor Corp,ADLR,4.41,-0.65,-0.68,2002-11-01
3,CIGNA Corp,CI,1.36,1.49,1.47,2002-11-01
4,Developers Diversified Realty Corp,DDR,1.67,0.61,0.60,2002-11-01
5,Emera Incorporated,EMA.TO,30.77,0.17,0.13,2002-11-01
6,Hispanic Broadcasting Corp,HSP,9.09,0.12,0.11,2002-11-01
7,ITLA Capital Corp,ITLA,5.26,0.80,0.76,2002-11-01
8,NN Inc,NNBR,7.69,0.14,0.13,2002-11-01
9,Omega Healthcare Investors Inc,OHI,5.26,0.20,0.19,2002-11-01
10,PAM Transportation Services Inc,PTSI,16.67,0.35,0.30,2002-11-01
11,Point.360,PTSX,28.57,0.09,0.07,2002-11-01
12,Rock of Ages Corp,ROAC,42.11,0.27,0.19,2002-11-01
13,Strayer Education Inc,STRA,5.56,0.19,0.18,2002-11-01
17,Home Properties Of New York Inc,HME,0.00,0.81,0.81,2002-11-01
18,Regent Communications Inc,RGCI,0.00,0.04,0.04,2002-11-01
22,Hemosol Inc,HML.TO,-18.18,-0.26,-0.22,2002-11-01
23,Hollinger International Inc,HLR,,-0.02,0.00,2002-11-01
24,Lancaster Colony Corp,LANC,-12.50,0.56,0.64,2002-11-01
25,"Penton Media, Inc",PME,-59.26,-0.43,-0.27,2002-11-01
26,Premium Brands Inc,FFF.TO,-115.00,-0.03,0.20,2002-11-01
27,Westpoint Stevens Inc,WSPT.OB,-85.71,-0.13,-0.07,2002-11-01
