,doc_terms,doc_tokens,raw_num,ticker
0,224,101,294,A
1,225,159,304,A
2,317,125,432,A
3,443,161,731,A
4,322,130,451,A
5,320,239,438,A
6,67,54,91,A
7,1300,563,1930,A
8,262,189,371,A
9,2320,748,3591,A
10,967,393,1455,A
11,52,46,74,A
12,122,102,182,A
13,178,147,235,A
14,2437,786,3774,A
15,1008,437,1506,A
16,234,201,338,A
17,2274,724,3509,A
18,885,350,1320,A
19,2061,678,3217,A
20,2575,660,4083,A
21,2704,674,4249,A
22,219,152,380,A
23,3610,989,5764,A
24,6092,1234,10680,A
25,582,370,915,A
26,205,136,311,A
27,6659,1927,12137,A
28,2348,697,3626,A
29,4580,1493,8088,A
30,3603,1257,6358,A
31,6856,2041,12452,A
32,2827,736,4424,A
33,230,172,338,A
34,2856,740,4498,A
35,49913,6694,86033,A
36,525,303,841,A
37,8244,1443,14819,A
38,5971,1872,9573,A
39,3104,1174,5003,A
40,4246,1388,7093,A
41,213,166,350,A
42,30812,4458,55856,A
43,300,171,464,A
44,17451,3144,30804,A
45,1928,937,3005,A
46,412,248,651,A
47,1391,695,2297,A
48,1671,870,2914,A
49,1883,914,2922,A
50,391,275,629,A
51,1892,901,2910,A
52,796,433,1243,A
53,6134,1560,12055,A
54,2642,1029,4412,A
55,310,195,441,A
56,775,381,1187,A
57,1867,876,2883,A
58,337,229,536,A
59,1882,870,2910,A
60,321,221,450,A
61,2618,1084,4406,A
62,22288,4053,40333,A
63,1912,892,2952,A
64,360,266,550,A
65,34576,4891,54267,A
66,12310,2484,21651,A
67,14038,2931,25835,A
68,2416,1075,3706,A
69,14864,2374,25815,A
70,1907,905,2955,A
71,445,283,730,A
72,6870,1688,13391,A
73,17553,2301,31467,A
74,1971,894,3069,A
75,1559,610,2661,A
76,400,226,640,A
77,11343,2278,19906,A
78,1883,868,2947,A
79,4479,1280,7587,A
80,2047,909,3176,A
81,14405,2854,25804,A
82,452,307,741,A
83,452,296,757,A
84,538,255,833,A
85,2598,1061,4087,A
86,295,184,464,A
87,14925,1837,26691,A
88,502,298,810,A
89,2090,947,3237,A
90,129,92,208,A
91,1960,871,3148,A
92,2142,953,3324,A
93,1094,512,1762,A
94,32183,5012,50460,A
95,681,351,1155,A
96,17490,2968,31463,A
97,139,101,216,A
98,4754,1599,8452,A
99,2138,948,3342,A
100,138,100,216,A
101,184,126,296,A
102,967,359,1505,A
103,612,381,916,A
104,2015,894,3139,A
105,592,373,902,A
106,687,419,1024,A
107,179,124,273,A
108,195,138,315,A
109,2050,811,3241,A
110,299,175,461,A
111,28219,5267,44935,A
112,16888,2805,30419,A
113,9494,1539,16521,A
114,300,226,441,A
115,1627,646,2496,A
116,2284,864,3612,A
117,121,75,190,A
118,2069,869,3240,A
119,251,156,361,A
120,244,141,370,A
121,159,107,272,A
122,1968,839,3107,A
123,261,182,400,A
124,1968,827,3107,A
125,2016,852,3181,A
126,26576,4092,48650,A
127,1909,814,3010,A
128,385,280,584,A
129,1837,801,2901,A
130,493,316,727,A
131,1728,764,2717,A
132,6357,2231,11364,A
133,242,146,363,A
134,1003,444,1592,A
135,1770,801,2798,A
136,8430,2086,13446,A
137,32114,5331,50318,A
138,13545,2953,24584,A
139,1891,820,2931,A
140,5769,1564,11063,A
141,1873,824,2897,A
142,296,205,443,A
143,2058,893,3172,A
0,323,236,437,AA
1,34782,5401,60552,AA
2,987,489,1522,AA
3,310,235,552,AA
4,739,500,1104,AA
5,6623,2800,10730,AA
6,4892,2029,8850,AA
7,481,330,753,AA
8,993,683,1533,AA
9,4877,2155,8699,AA
10,476,339,735,AA
11,864,589,1345,AA
12,2989,1298,3715,AA
13,986,646,1545,AA
14,4539,1949,6724,AA
15,14437,5043,22817,AA
16,925,644,1427,AA
17,41,40,65,AA
18,7341,2828,11795,AA
19,1423,878,2142,AA
20,6300,2289,10472,AA
21,597,450,930,AA
22,173,146,270,AA
23,64,60,105,AA
24,1426,870,2221,AA
25,7973,2952,12848,AA
26,235,162,371,AA
27,391,286,618,AA
28,1444,749,2736,AA
29,2471,983,4582,AA
30,429,316,668,AA
31,1358,826,2083,AA
32,9621,3049,15296,AA
33,19832,6185,31802,AA
34,863,506,1385,AA
35,1509,840,2285,AA
36,8522,2860,13480,AA
37,195,139,297,AA
38,20631,3289,37216,AA
39,2957,1413,4294,AA
40,394,271,615,AA
41,157,114,252,AA
42,391,258,645,AA
43,1169,581,1814,AA
44,1314,778,2036,AA
45,8075,2612,12598,AA
46,152,113,228,AA
47,366,280,556,AA
48,1138,707,1770,AA
49,6975,2569,11371,AA
50,8218,2179,14342,AA
51,543,341,860,AA
52,1205,760,1813,AA
53,6884,2457,11466,AA
54,179,121,283,AA
55,1340,825,2012,AA
56,5082,2009,8673,AA
57,451,272,664,AA
58,5760,2802,9326,AA
59,700,427,1078,AA
60,1211,746,1840,AA
61,5328,1983,8971,AA
62,3095,1160,5343,AA
63,1218,692,1879,AA
64,6260,2192,10431,AA
65,445,307,670,AA
66,887,496,1291,AA
67,1276,584,2012,AA
68,417,289,606,AA
69,1343,751,2089,AA
70,6798,2325,11357,AA
71,30844,4452,49267,AA
72,866,534,1346,AA
73,8058,2052,14785,AA
74,862,432,1351,AA
75,1136,542,1805,AA
76,20219,1992,37570,AA
77,1162,653,1809,AA
78,6417,2285,10620,AA
79,90,70,157,AA
80,526,386,847,AA
81,2188,1192,3600,AA
82,709,332,1184,AA
83,985,648,1604,AA
84,1706,901,2701,AA
85,22828,3830,40771,AA
86,4508,1880,7537,AA
87,615,441,950,AA
88,543,346,875,AA
89,489,341,813,AA
90,3293,1038,6278,AA
91,282,150,459,AA
92,986,509,1581,AA
93,23956,3813,43351,AA
94,1101,652,1691,AA
95,561,368,874,AA
96,5797,2049,9589,AA
97,278,149,452,AA
98,422,278,685,AA
99,1232,728,1877,AA
100,7317,2458,12083,AA
101,1300,649,2009,AA
102,138,105,222,AA
103,395,291,659,AA
104,282,144,464,AA
105,1062,623,1633,AA
106,4822,2054,8508,AA
107,290,146,472,AA
108,525,330,817,AA
109,362,246,574,AA
110,11804,4406,18691,AA
111,984,574,1485,AA
112,7588,2591,13359,AA
113,11138,2179,20999,AA
114,66,60,110,AA
115,26723,4648,42729,AA
116,294,148,480,AA
117,614,427,964,AA
118,1153,731,1746,AA
119,7856,2526,13525,AA
120,483,350,800,AA
121,312,152,510,AA
122,516,330,814,AA
123,373,290,558,AA
124,1376,664,2073,AA
125,1167,713,1788,AA
126,6735,2421,11589,AA
127,1503,700,2354,AA
128,321,259,487,AA
129,11930,1912,21941,AA
130,14102,2198,25256,AA
131,1223,732,1894,AA
132,3685,1862,6177,AA
133,308,154,502,AA
134,6124,2204,10273,AA
135,1606,575,2836,AA
136,1196,658,1889,AA
137,6632,2562,12420,AA
138,795,500,1328,AA
139,1251,699,1913,AA
140,5992,2316,10647,AA
141,1040,531,1641,AA
142,1017,635,1666,AA
143,2509,973,4247,AA
144,1442,804,2201,AA
145,6677,2467,12218,AA
146,434,299,679,AA
147,4354,1240,7914,AA
148,719,436,1122,AA
149,596,378,988,AA
150,594,366,928,AA
151,1073,658,1611,AA
152,6265,2218,10961,AA
153,5274,1733,9703,AA
154,4250,2030,7024,AA
155,1412,814,2096,AA
156,6674,2403,11477,AA
157,750,391,1127,AA
158,7372,1884,13428,AA
159,3415,1272,6178,AA
160,868,500,1359,AA
161,1063,522,1653,AA
162,1442,791,2156,AA
163,5564,2285,10028,AA
164,381,270,585,AA
